epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6067721247673035,0.0010000000474974513,1.0734565258026123,0.7321428656578064,0.7159802317619324
1,0.7256549596786499,0.0010000000474974513,0.72292560338974,0.7827380895614624,0.5768159031867981
2,0.7785466909408569,0.0010000000474974513,0.6027248501777649,0.8214285969734192,0.4898349642753601
3,0.7968363761901855,0.0010000000474974513,0.5567440390586853,0.824404776096344,0.4774884879589081
4,0.8230351209640503,0.0010000000474974513,0.49834421277046204,0.836309552192688,0.4461682140827179
5,0.8425605297088623,0.0010000000474974513,0.43602487444877625,0.8313491940498352,0.4393949806690216
6,0.8348986506462097,0.0010000000474974513,0.4291541576385498,0.8442460298538208,0.40002843737602234
7,0.8593672513961792,0.0010000000474974513,0.3810855448246002,0.8452380895614624,0.40448373556137085
8,0.8576371669769287,0.0010000000474974513,0.37888965010643005,0.846230149269104,0.4217698276042938
9,0.8680177927017212,0.0010000000474974513,0.3363361656665802,0.8690476417541504,0.36244887113571167
10,0.8732081055641174,0.0010000000474974513,0.3286646902561188,0.8690476417541504,0.35800373554229736
11,0.8796342015266418,0.0010000000474974513,0.3246566653251648,0.8720238208770752,0.3474043309688568
12,0.8771626353263855,0.0010000000474974513,0.31479212641716003,0.8829365372657776,0.3436506986618042
13,0.8816114664077759,0.0010000000474974513,0.29847636818885803,0.8849206566810608,0.33194786310195923
14,0.891497790813446,0.0010000000474974513,0.27707362174987793,0.8908730149269104,0.3166930675506592
15,0.8932278752326965,0.0010000000474974513,0.2643604576587677,0.9007936716079712,0.29096290469169617
16,0.9070687294006348,0.0010000000474974513,0.2477785348892212,0.8898809552192688,0.30210763216018677
17,0.8994068503379822,0.0010000000474974513,0.2435586154460907,0.8839285969734192,0.3138187825679779
18,0.9083045125007629,0.0010000000474974513,0.24703344702720642,0.8958333134651184,0.2805939018726349
19,0.9147306084632874,0.0010000000474974513,0.22897261381149292,0.9027777910232544,0.29216864705085754
